Age,Gender,Height,Weight,Activity Level,Fitness Goal,Dietary Preference,Daily Calorie Target,Protein,Carbohydrates,Fat
25,Male,180,80,Moderate,Lose weight,High protein,2000,120,250,60
32,Female,165,65,Light,Lose weight,Vegan,1600,80,200,40
48,Male,175,95,Sedentary,Maintain weight,Vegan,2200,100,300,65
55,Female,160,70,High,Lose weight,High protein,2500,140,350,80
62,Male,170,85,Sedentary,Maintain weight,Vegan,2000,80,250,55
68,Female,155,60,Light,Maintain weight,Vegan,1800,70,220,45
28,Male,190,100,Moderate,Build muscle,High protein,3000,180,350,80
35,Female,170,75,High,Build muscle,Vegan,2400,120,300,60
42,Male,185,110,Moderate,Build muscle,Vegan,3200,160,400,85
58,Female,168,78,Sedentary,Maintain weight,Vegan,1900,75,230,50
25,Male,180,80,Light,Lose weight,High protein,2000,120,250,60
32,Female,165,65,Moderate,Build muscle,Vegan,2200,100,300,70
48,Male,175,95,Sedentary,Maintain weight,Vegan,2400,100,350,80
55,Female,160,70,Moderate,Lose weight,High protein,1800,100,200,50
62,Male,170,85,High,Build muscle,Vegan,3000,150,400,100
28,Female,172,60,Light,Build muscle,Vegan,2000,100,250,60
35,Male,185,90,High,Lose weight,High protein,2500,150,300,80
40,Female,168,75,Moderate,Maintain weight,Vegan,2200,100,300,70
22,Male,190,100,Light,Build muscle,High protein,2800,160,350,90
58,Female,155,68,Sedentary,Lose weight,Vegan,1600,80,180,40
24,Female,165,55,Light,Lose weight,High protein,1800,100,250,50
38,Male,180,80,Moderate,Build muscle,High protein,2800,160,350,80
55,Female,160,70,Sedentary,Lose weight,Vegan,1600,80,200,40
62,Male,175,95,Moderate,Lose weight,High protein,2200,120,280,60
28,Female,170,65,High,Build muscle,Vegan,2400,140,320,70
45,Male,185,100,Light,Lose weight,High protein,2000,110,250,50
68,Female,155,60,Sedentary,Maintain weight,Vegan,1400,70,180,35
32,Male,190,90,High,Build muscle,High protein,3000,180,400,90
58,Male,170,85,Moderate,Lose weight,Vegan,1900,100,240,50
22,Female,160,50,Light,Lose weight,Vegan,1500,80,200,40
25,Female,165,60,Light,Lose weight,High protein,1800,80,200,60
38,Male,180,85,Moderate,Build muscle,Vegan,2800,150,250,80
55,Female,160,65,Sedentary,Maintain weight,Vegan,1600,65,180,50
42,Male,190,95,High,Build muscle,High protein,3200,200,300,100
62,Female,155,58,Sedentary,Lose weight,Vegan,1400,55,150,40
28,Male,175,70,Moderate,Build muscle,High protein,2500,130,220,70
31,Female,170,75,Light,Lose weight,Vegan,1700,70,190,50
58,Male,185,90,Moderate,Maintain weight,High protein,2400,100,240,70
22,Female,168,55,High,Build muscle,Vegan,2200,110,200,60
45,Male,182,80,Light,Lose weight,High protein,2000,90,220,60
25,Male,180,80,Moderate,Lose weight,High protein,2200,120,250,60
32,Female,165,65,Light,Build muscle,Vegan,2000,100,200,60
55,Male,175,90,Sedentary,Maintain weight,Vegan,2000,80,250,50
68,Female,160,75,Light,Lose weight,High protein,1800,80,180,50
28,Male,185,95,High,Build muscle,High protein,3000,160,350,80
38,Female,170,70,Moderate,Lose weight,Vegan,1800,80,200,50
62,Male,170,85,Sedentary,Maintain weight,High protein,2200,80,270,60
45,Female,168,60,High,Build muscle,Vegan,2400,120,280,70
22,Female,172,55,Moderate,Lose weight,Vegan,1800,80,200,50
58,Male,178,98,Sedentary,Maintain weight,High protein,2000,80,250,50
25,Male,180,85,Light,Lose weight,High protein,2000,120,250,65
32,Female,165,60,Moderate,Build muscle,Vegan,2200,100,300,70
48,Male,175,95,High,Maintain weight,High protein,2800,150,350,90
55,Female,160,70,Sedentary,Lose weight,Vegan,1600,80,200,50
28,Male,185,90,Moderate,Build muscle,Vegan,2600,130,350,80
62,Female,155,65,Light,Lose weight,High protein,1800,90,220,60
35,Female,170,75,High,Build muscle,Vegan,2400,110,320,75
22,Male,190,80,Moderate,Lose weight,Vegan,2100,100,270,65
58,Male,178,100,Sedentary,Maintain weight,High protein,2400,120,300,75
40,Female,168,72,Light,Build muscle,Vegan,2000,90,250,65
25,Male,180,80,Moderate,Build muscle,High protein,2800,160,350,80
32,Female,165,60,Light,Lose weight,Vegan,1800,100,220,50
